id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-697166";"2020-08-24";"1";"Vente";"140000.0";"1.0";"None";"RUE MARCEAU";"5160";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0143";"None";"None";"15";"nan";"4";"51.01";"5";"nan";"None";"nan";"None";"nan";"3";"2";"Appartement";"53.0";"2.0";"None";"None";"None";"None";"nan";"-0.558852";"47.467318";"000DI"
"2020-696727";"2020-08-06";"1";"Vente";"52000.0";"7.0";"None";"BD MARC LECLERC";"5150";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0555";"None";"None";"120";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"-0.565651";"47.463697";"000DI"
"2020-696727";"2020-08-06";"1";"Vente";"52000.0";"7.0";"None";"BD MARC LECLERC";"5150";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0555";"None";"None";"162";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.565651";"47.463697";"000DI"
"2020-696852";"2020-08-05";"1";"Vente";"33000.0";"15.0";"T";"AV DE LA BLANCHERAIE";"0930";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0263";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"24.0";"-0.561585";"47.46663";"000DI"
"2020-696716";"2020-07-31";"1";"Vente";"120000.0";"38.0";"None";"RUE FAIDHERBE";"2980";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0373";"None";"None";"13";"nan";"5";"36.25";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"-0.563064";"47.466267";"000DI"
"2020-696564";"2020-07-23";"1";"Vente";"104000.0";"25.0";"None";"RUE DE QUATREBARBES";"6580";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0462";"None";"None";"10";"25.24";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"29.0";"2.0";"None";"None";"None";"None";"nan";"-0.560543";"47.468913";"000DI"
"2020-696564";"2020-07-23";"1";"Vente";"104000.0";"25.0";"None";"RUE DE QUATREBARBES";"6580";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0462";"None";"None";"19";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.560543";"47.468913";"000DI"
"2020-696371";"2020-07-07";"1";"Vente";"255000.0";"21.0";"None";"AV DE LA BLANCHERAIE";"0930";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0270";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"102.0";"4.0";"S";"sols";"None";"None";"229.0";"-0.561965";"47.466383";"000DI"
"2020-696345";"2020-06-29";"1";"Vente";"213000.0";"52.0";"None";"RUE FAIDHERBE";"2980";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0280";"None";"None";"114";"71.56";"125";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"nan";"-0.561573";"47.465626";"000DI"
"2020-696345";"2020-06-29";"1";"Vente";"213000.0";"52.0";"None";"RUE FAIDHERBE";"2980";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0280";"None";"None";"119";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.561573";"47.465626";"000DI"
"2020-696264";"2020-06-26";"1";"Vente";"135500.0";"5.0";"None";"COUR ST LAUD";"7240";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0606";"None";"None";"109";"39.89";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"39.0";"2.0";"None";"None";"None";"None";"nan";"-0.560459";"47.465911";"000DI"
"2020-696264";"2020-06-26";"1";"Vente";"135500.0";"5.0";"None";"COUR ST LAUD";"7240";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0606";"None";"None";"312";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.560459";"47.465911";"000DI"
"2020-696027";"2020-06-23";"1";"Vente";"150000.0";"1.0";"None";"PL PIERRE SEMARD";"6250";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0220";"None";"None";"22";"64.7";"29";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"-0.559845";"47.465216";"000DI"
"2020-696091";"2020-06-19";"1";"Vente";"120000.0";"23.0";"None";"RUE MARCEAU";"5160";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0161";"None";"None";"14";"nan";"20";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"41.0";"3.0";"None";"None";"None";"None";"nan";"-0.559015";"47.466558";"000DI"
"2020-695963";"2020-06-17";"1";"Vente";"370000.0";"3.0";"None";"RUE SARRET TERRASSE";"7390";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0197";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"109.0";"6.0";"S";"sols";"None";"None";"68.0";"-0.558914";"47.466253";"000DI"
"2020-695851";"2020-06-09";"1";"Vente";"320000.0";"15.0";"None";"RUE LEON PAVOT";"4760";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0357";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"110.0";"5.0";"S";"sols";"None";"None";"289.0";"-0.563359";"47.465359";"000DI"
"2020-695958";"2020-06-09";"1";"Vente";"420000.0";"5.0";"None";"RUE DE L ESVIERE";"2902";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0048";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"118.0";"5.0";"S";"sols";"None";"None";"195.0";"-0.562046";"47.468296";"000DI"
"2020-695940";"2020-05-29";"1";"Vente";"98000.0";"16.0";"None";"RUE MARCEAU";"5160";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0134";"None";"None";"5";"35.2";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"37.0";"2.0";"None";"None";"None";"None";"nan";"-0.559557";"47.466602";"000DI"
"2020-695701";"2020-05-19";"1";"Vente";"25000.0";"9.0";"None";"RUE D IENA";"4090";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0512";"None";"None";"45";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.558233";"47.466313";"000DI"
"2020-695372";"2020-05-05";"1";"Vente";"180000.0";"9.0";"None";"RUE JACQUES GRANNEAU";"4160";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0253";"None";"None";"4";"61.38";"9";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"-0.560897";"47.466429";"000DI"
